yearstart,yearend,locationabbr,locationdesc,datasource,topic,question,datavalueunit,datavaluetype,datavalue,datavaluealt,lowconfidencelimit,highconfidencelimit,stratificationcategory1,stratification1,locationid,topicid,questionid,datavaluetypeid,stratificationcategoryid1,stratificationid1,:@computed_region_bxsw_vy29,:@computed_region_he4y_prf8,geolocation.latitude,geolocation.longitude,geolocation.human_address,datavaluefootnotesymbol,datavaluefootnote
2018,2018,VI,Virgin Islands,BRFSS,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,Age-adjusted Prevalence,,,,,Race/Ethnicity,"Other, non-Hispanic",78,AST,AST6_2,AGEADJPREV,RACE,OTH,,,18.335765,-64.896335,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2018,2018,MA,Massachusetts,BRFSS,Chronic Obstructive Pulmonary Disease,Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,Crude Prevalence,52.5,52.5,45.3,59.5,Overall,Overall,25,COPD,COPD7_0,CRDPREV,OVERALL,OVR,25,1919,42.27687047000046,-72.08269067499964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,MD,Maryland,BRFSS,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,%,Age-adjusted Prevalence,42.5,42.5,30.4,55.6,Gender,Male,24,CVD,CVD10_1,AGEADJPREV,GENDER,GENM,45,1857,39.29058096400047,-76.60926011099963,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2015,2015,KS,Kansas,BRFSS,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,%,Crude Prevalence,44.0,44.0,33.9,54.7,Race/Ethnicity,"Multiracial, non-Hispanic",20,ART,ART4_0,CRDPREV,RACE,MRC,17,1287,38.34774030000045,-98.20078122699965,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,KS,Kansas,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 45 years,%,Crude Prevalence,10.3,10.3,6.9,15.2,Race/Ethnicity,"Black, non-Hispanic",20,COPD,COPD2_0_1,CRDPREV,RACE,BLK,17,1287,38.34774030000045,-98.20078122699965,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2015,2015,VI,Virgin Islands,BRFSS,Arthritis,Arthritis among adults aged >= 18 years,%,Age-adjusted Prevalence,,,,,Race/Ethnicity,"Black, non-Hispanic",78,ART,ART1_1,AGEADJPREV,RACE,BLK,,,18.335765,-64.896335,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2018,2018,NH,New Hampshire,BRFSS,Cancer,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude Prevalence,74.9,74.9,72.9,76.8,Overall,Overall,33,CAN,CAN3_0,CRDPREV,OVERALL,OVR,26,2405,43.65595011300047,-71.50036091999965,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,NC,North Carolina,BRFSS,Cancer,Papanicolaou smear use among adult women aged 21-65 years,%,Crude Prevalence,81.7,81.7,78.2,84.8,Race/Ethnicity,"White, non-Hispanic",37,CAN,CAN2_1,CRDPREV,RACE,WHT,37,2390,35.466220975000454,-79.15925046299964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,CO,Colorado,BRFSS,Cancer,Mammography use among women aged 50-74 years,%,Crude Prevalence,62.5,62.5,55.3,69.2,Race/Ethnicity,Hispanic,08,CAN,CAN1_0,CRDPREV,RACE,HIS,9,1398,38.843840757000464,-106.13361092099967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,OK,Oklahoma,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,70.7,70.7,57.6,81.1,Race/Ethnicity,Hispanic,40,CAN,CAN2_2,CRDPREV,RACE,HIS,20,712,35.47203135600046,-97.52107021399968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,VA,Virginia,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,82.4,82.4,66.1,91.9,Race/Ethnicity,"Other, non-Hispanic",51,CAN,CAN2_2,CRDPREV,RACE,OTH,40,2758,37.54268067400045,-78.45789046299967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,PR,Puerto Rico,BRFSS,Cancer,Mammography use among women aged 50-74 years,%,Crude Prevalence,83.4,83.4,80.7,85.8,Race/Ethnicity,Hispanic,72,CAN,CAN1_0,CRDPREV,RACE,HIS,,3050,18.220833,-66.590149,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,NV,Nevada,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,80.1,80.1,73.7,85.2,Overall,Overall,32,CAN,CAN2_2,CRDPREV,OVERALL,OVR,10,481,39.493240390000494,-117.07184056399967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,UT,Utah,BRFSS,Cancer,Papanicolaou smear use among adult women aged 21-65 years,%,Age-adjusted Prevalence,75.0,75.0,68.9,80.3,Race/Ethnicity,Hispanic,49,CAN,CAN2_1,AGEADJPREV,RACE,HIS,13,900,39.360700171000474,-111.58713063499971,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,AK,Alaska,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,80.5,80.5,74.1,85.6,Overall,Overall,02,CAN,CAN2_2,CRDPREV,OVERALL,OVR,51,1673,64.84507995700051,-147.72205903599973,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,CA,California,BRFSS,Cancer,Papanicolaou smear use among adult women aged 21-65 years,%,Age-adjusted Prevalence,79.2,79.2,77.2,81.0,Overall,Overall,06,CAN,CAN2_1,AGEADJPREV,OVERALL,OVR,8,1340,37.63864012300047,-120.99999953799971,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,AZ,Arizona,BRFSS,Cancer,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted Prevalence,60.0,60.0,53.1,66.5,Race/Ethnicity,Hispanic,04,CAN,CAN3_0,AGEADJPREV,RACE,HIS,7,986,34.865970280000454,-111.76381127699972,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,GA,Georgia,BRFSS,Cancer,Papanicolaou smear use among adult women aged 21-65 years,%,Crude Prevalence,82.1,82.1,76.8,86.4,Race/Ethnicity,Hispanic,13,CAN,CAN2_1,CRDPREV,RACE,HIS,31,1149,32.83968109300048,-83.62758034599966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,VT,Vermont,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 45 years,%,Crude Prevalence,9.7,9.7,8.3,11.2,Gender,Female,50,COPD,COPD2_0_1,CRDPREV,GENDER,GENF,28,3218,43.62538123900049,-72.51764079099962,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2015,2015,KS,Kansas,BRFSS,Asthma,Current asthma prevalence among adults aged >= 18 years,%,Age-adjusted Prevalence,13.4,13.4,10.9,16.5,Race/Ethnicity,"Black, non-Hispanic",20,AST,AST1_1,AGEADJPREV,RACE,BLK,17,1287,38.34774030000045,-98.20078122699965,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,IL,Illinois,BRFSS,Cancer,Mammography use among women aged 50-74 years,%,Crude Prevalence,78.4,78.4,75.2,81.3,Overall,Overall,17,CAN,CAN1_0,CRDPREV,OVERALL,OVR,34,1795,40.48501028300046,-88.99771017799969,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,FL,Florida,BRFSS,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,%,Crude Prevalence,9.7,9.7,8.6,11.0,Gender,Female,12,COPD,COPD2_0,CRDPREV,GENDER,GENF,30,1112,28.932040377000476,-81.92896053899966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,IN,Indiana,BRFSS,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,Crude Prevalence,,,,,Race/Ethnicity,"Other, non-Hispanic",18,CAN,CAN2_2,CRDPREV,RACE,OTH,35,1904,39.766910452000445,-86.14996019399968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",****,Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%
2018,2018,AR,Arkansas,BRFSS,Cancer,Mammography use among women aged 50-74 years,%,Crude Prevalence,72.5,72.5,69.6,75.3,Overall,Overall,05,CAN,CAN1_0,CRDPREV,OVERALL,OVR,15,998,34.74865012400045,-92.27449074299966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,DC,District of Columbia,BRFSS,Cancer,Mammography use among women aged 50-74 years,%,Crude Prevalence,79.6,79.6,76.6,82.3,Overall,Overall,11,CAN,CAN1_0,CRDPREV,OVERALL,OVR,44,1049,38.907192,-77.036871,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,NC,North Carolina,BRFSS,Chronic Obstructive Pulmonary Disease,Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,Age-adjusted Prevalence,59.3,59.3,49.9,68.0,Race/Ethnicity,"White, non-Hispanic",37,COPD,COPD7_0,AGEADJPREV,RACE,WHT,37,2390,35.466220975000454,-79.15925046299964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,DE,Delaware,BRFSS,Older Adults,Proportion of older adults aged 50-64 years who are up to date on a core set of clinical preventive services,%,Crude Prevalence,25.9,25.9,21.7,30.5,Gender,Male,10,OLD,OLD3_2,CRDPREV,GENDER,GENM,43,1046,39.008830667000495,-75.57774116799965,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,FL,Florida,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,Age-adjusted Prevalence,15.9,15.9,12.8,19.7,Race/Ethnicity,"Black, non-Hispanic",12,DIA,DIA2_1,AGEADJPREV,RACE,BLK,30,1112,28.932040377000476,-81.92896053899966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2015,2015,VI,Virgin Islands,BRFSS,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,Crude Prevalence,,,,,Race/Ethnicity,"Other, non-Hispanic",78,ART,ART1_2,CRDPREV,RACE,OTH,,,18.335765,-64.896335,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2018,2018,IN,Indiana,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,,,Race/Ethnicity,"Black, non-Hispanic",18,DIA,DIA7_0,AGEADJPREV,RACE,BLK,35,1904,39.766910452000445,-86.14996019399968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2018,2018,MI,Michigan,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,,,,,Race/Ethnicity,"Multiracial, non-Hispanic",26,DIA,DIA7_0,CRDPREV,RACE,MRC,50,436,44.6613195430005,-84.71439026999968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2018,2018,AZ,Arizona,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,71.9,71.9,64.8,78.1,Race/Ethnicity,"White, non-Hispanic",04,DIA,DIA5_0,CRDPREV,RACE,WHT,7,986,34.865970280000454,-111.76381127699972,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,IN,Indiana,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,Crude Prevalence,50.1,50.1,45.4,54.8,Race/Ethnicity,"White, non-Hispanic",18,DIA,DIA12_2,CRDPREV,RACE,WHT,35,1904,39.766910452000445,-86.14996019399968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,UT,Utah,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Crude Prevalence,30.0,30.0,26.4,33.8,Race/Ethnicity,Hispanic,49,NPAW,NPAW1_1,CRDPREV,RACE,HIS,13,900,39.360700171000474,-111.58713063499971,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,GA,Georgia,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,Crude Prevalence,39.8,39.8,33.2,46.8,Gender,Male,13,DIA,DIA12_1,CRDPREV,GENDER,GENM,31,1149,32.83968109300048,-83.62758034599966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,OK,Oklahoma,BRFSS,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,Crude Prevalence,68.9,68.9,66.9,70.8,Race/Ethnicity,"White, non-Hispanic",40,NPAW,NPAW2_1,CRDPREV,RACE,WHT,20,712,35.47203135600046,-97.52107021399968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,VT,Vermont,BRFSS,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,,,Race/Ethnicity,Hispanic,50,DIA,DIA6_0,AGEADJPREV,RACE,HIS,28,3218,43.62538123900049,-72.51764079099962,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2018,2018,NC,North Carolina,BRFSS,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,Crude Prevalence,81.4,81.4,74.0,87.1,Overall,Overall,37,DIA,DIA13_2,CRDPREV,OVERALL,OVR,37,2390,35.466220975000454,-79.15925046299964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,NH,New Hampshire,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,,,,,Gender,Male,33,DIA,DIA5_0,CRDPREV,GENDER,GENM,26,2405,43.65595011300047,-71.50036091999965,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2018,2018,KS,Kansas,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,,,Gender,Female,20,DIA,DIA7_0,AGEADJPREV,GENDER,GENF,17,1287,38.34774030000045,-98.20078122699965,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2018,2018,WI,Wisconsin,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Crude Prevalence,40.3,40.3,31.0,50.2,Race/Ethnicity,Hispanic,55,NPAW,NPAW1_1,CRDPREV,RACE,HIS,41,3078,44.39319117400049,-89.81637074199966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,GA,Georgia,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,Crude Prevalence,15.1,15.1,13.6,16.9,Race/Ethnicity,"Black, non-Hispanic",13,DIA,DIA2_1,CRDPREV,RACE,BLK,31,1149,32.83968109300048,-83.62758034599966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,IL,Illinois,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,,,Gender,Male,17,DIA,DIA7_0,AGEADJPREV,GENDER,GENM,34,1795,40.48501028300046,-88.99771017799969,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2018,2018,CT,Connecticut,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,Crude Prevalence,8.7,8.7,7.8,9.6,Gender,Female,09,DIA,DIA2_1,CRDPREV,GENDER,GENF,24,1043,41.56266102000046,-72.64984095199964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,IA,Iowa,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,35.7,35.7,34.5,36.9,Overall,Overall,19,NPAW,NPAW1_1,AGEADJPREV,OVERALL,OVR,16,281,42.46940091300047,-93.81649055599968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,GU,Guam,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,Crude Prevalence,13.7,13.7,11.6,16.1,Overall,Overall,66,DIA,DIA2_1,CRDPREV,OVERALL,OVR,,,13.444304,144.793731,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,MT,Montana,BRFSS,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,%,Crude Prevalence,32.9,32.9,20.8,47.8,Race/Ethnicity,Hispanic,30,NPAW,NPAW3_1,CRDPREV,RACE,HIS,2,2283,47.06652897200047,-109.42442064499971,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,HI,Hawaii,BRFSS,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,,,,,Overall,Overall,15,DIA,DIA6_0,CRDPREV,OVERALL,OVR,4,1657,21.304850435000446,-157.85774940299973,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2018,2018,HI,Hawaii,BRFSS,Diabetes,Diabetes prevalence among women aged 18-44 years,%,Crude Prevalence,6.2,6.2,4.7,7.9,Overall,Overall,15,DIA,DIA2_2,CRDPREV,OVERALL,OVR,4,1657,21.304850435000446,-157.85774940299973,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,WA,Washington,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,Crude Prevalence,9.5,9.5,8.7,10.4,Gender,Female,53,DIA,DIA2_1,CRDPREV,GENDER,GENF,6,2956,47.52227862900048,-120.47001078999972,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,HI,Hawaii,BRFSS,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,Age-adjusted Prevalence,23.4,23.4,17.9,30.0,Gender,Female,15,DIA,DIA13_1,AGEADJPREV,GENDER,GENF,4,1657,21.304850435000446,-157.85774940299973,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,IL,Illinois,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,Age-adjusted Prevalence,42.8,42.8,27.1,60.0,Gender,Male,17,DIA,DIA12_1,AGEADJPREV,GENDER,GENM,34,1795,40.48501028300046,-88.99771017799969,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,TX,Texas,BRFSS,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,Crude Prevalence,43.2,43.2,32.9,54.1,Race/Ethnicity,Hispanic,48,DIA,DIA10_0,CRDPREV,RACE,HIS,23,3109,31.827240407000488,-99.42677020599967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,PA,Pennsylvania,BRFSS,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,,,Race/Ethnicity,Hispanic,42,DIA,DIA6_0,AGEADJPREV,RACE,HIS,48,2495,40.79373015200048,-77.86070029399963,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2018,2018,AK,Alaska,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,Age-adjusted Prevalence,53.3,53.3,40.0,66.1,Gender,Male,02,DIA,DIA12_2,AGEADJPREV,GENDER,GENM,51,1673,64.84507995700051,-147.72205903599973,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2014,2014,WV,West Virginia,NVSS,Cardiovascular Disease,Mortality from diseases of the heart,"cases per 100,000",Crude Rate,231.9,231.9,222.2,241.7,Gender,Female,54,CVD,CVD1_2,CRDRATE,GENDER,GENF,42,2749,38.66551020200046,-80.71264013499967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,FL,Florida,BRFSS,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,,,Gender,Female,12,DIA,DIA6_0,AGEADJPREV,GENDER,GENF,30,1112,28.932040377000476,-81.92896053899966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2018,2018,MA,Massachusetts,BRFSS,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,53.3,53.3,50.8,55.7,Gender,Female,25,NPAW,NPAW2_1,AGEADJPREV,GENDER,GENF,25,1919,42.27687047000046,-72.08269067499964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,NY,New York,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,Age-adjusted Prevalence,14.4,14.4,11.8,17.5,Race/Ethnicity,"Other, non-Hispanic",36,NPAW,NPAW1_1,AGEADJPREV,RACE,OTH,47,2092,42.82700103200045,-75.54397042699964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,IL,Illinois,BRFSS,Diabetes,Diabetes prevalence among women aged 18-44 years,%,Crude Prevalence,5.0,5.0,3.2,7.6,Race/Ethnicity,"White, non-Hispanic",17,DIA,DIA2_2,CRDPREV,RACE,WHT,34,1795,40.48501028300046,-88.99771017799969,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,UT,Utah,BRFSS,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,,,,,Overall,Overall,49,DIA,DIA7_0,AGEADJPREV,OVERALL,OVR,13,900,39.360700171000474,-111.58713063499971,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2018,2018,LA,Louisiana,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,Age-adjusted Prevalence,12.6,12.6,11.2,14.2,Gender,Male,22,DIA,DIA2_1,AGEADJPREV,GENDER,GENM,22,1697,31.31266064400046,-92.44568007099969,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,MT,Montana,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,,,,,Race/Ethnicity,"Black, non-Hispanic",30,DIA,DIA5_0,CRDPREV,RACE,BLK,2,2283,47.06652897200047,-109.42442064499971,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2018,2018,IN,Indiana,BRFSS,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,Crude Prevalence,31.9,31.9,26.8,37.4,Race/Ethnicity,"White, non-Hispanic",18,DIA,DIA12_1,CRDPREV,RACE,WHT,35,1904,39.766910452000445,-86.14996019399968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,NY,New York,BRFSS,Diabetes,Visits to dentist or dental clinic among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,55.1,55.1,47.9,62.0,Race/Ethnicity,"Black, non-Hispanic",36,DIA,DIA8_0,CRDPREV,RACE,BLK,47,2092,42.82700103200045,-75.54397042699964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,NY,New York,BRFSS,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,,,,,Race/Ethnicity,"Multiracial, non-Hispanic",36,DIA,DIA6_0,CRDPREV,RACE,MRC,47,2092,42.82700103200045,-75.54397042699964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2018,2018,NY,New York,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,,,,,Race/Ethnicity,Hispanic,36,DIA,DIA5_0,CRDPREV,RACE,HIS,47,2092,42.82700103200045,-75.54397042699964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2018,2018,MN,Minnesota,BRFSS,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,34.7,34.7,22.0,50.0,Race/Ethnicity,Hispanic,27,DIA,DIA11_3,CRDPREV,RACE,HIS,1,392,46.35564873600049,-94.79420050299967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,AR,Arkansas,BRFSS,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,%,Age-adjusted Prevalence,37.9,37.9,28.4,48.6,Gender,Male,05,DIA,DIA11_3,AGEADJPREV,GENDER,GENM,15,998,34.74865012400045,-92.27449074299966,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,DE,Delaware,BRFSS,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,%,Crude Prevalence,73.8,73.8,67.8,79.0,Gender,Female,10,DIA,DIA5_0,CRDPREV,GENDER,GENF,43,1046,39.008830667000495,-75.57774116799965,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2014,2014,MA,Massachusetts,NVSS,Cardiovascular Disease,Mortality from heart failure,"cases per 100,000",Crude Rate,17.6,17.6,14.6,20.7,Race/Ethnicity,Hispanic,25,CVD,CVD1_4,CRDRATE,RACE,HIS,25,1919,42.27687047000046,-72.08269067499964,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2014,2014,IL,Illinois,NVSS,Diabetes,Mortality due to diabetes reported as any listed cause of death,,Number,1482,1482,,,Race/Ethnicity,"Black, non-Hispanic",17,DIA,DIA1_1,NMBR,RACE,BLK,34,1795,40.48501028300046,-88.99771017799969,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,PA,Pennsylvania,BRFSS,Diabetes,Diabetes prevalence among women aged 18-44 years,%,Crude Prevalence,6.3,6.3,4.5,8.7,Race/Ethnicity,"White, non-Hispanic",42,DIA,DIA2_2,CRDPREV,RACE,WHT,48,2495,40.79373015200048,-77.86070029399963,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,IN,Indiana,BRFSS,Diabetes,Diabetes prevalence among women aged 18-44 years,%,Crude Prevalence,6.6,6.6,5.0,8.5,Overall,Overall,18,DIA,DIA2_2,CRDPREV,OVERALL,OVR,35,1904,39.766910452000445,-86.14996019399968,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
2018,2018,VI,Virgin Islands,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,Age-adjusted Prevalence,,,,,Gender,Male,78,DIA,DIA2_1,AGEADJPREV,GENDER,GENM,,,18.335765,-64.896335,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",-,No data available
2018,2018,VA,Virginia,BRFSS,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,Crude Prevalence,12.4,12.4,7.9,18.9,Race/Ethnicity,"Other, non-Hispanic",51,DIA,DIA2_1,CRDPREV,RACE,OTH,40,2758,37.54268067400045,-78.45789046299967,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}",,
