,jurisdiction,week_ending_date,state_abbreviation,mmwryear,mmwrweek,race_ethnicity,time_period,outcome,number_of_deaths,average_number_of_deaths,type,suppress,difference_from_2015_2019,percent_difference_from_2015,note
173,Alabama,2020-07-18T00:00:00.000,AL,2020,29,Hispanic,2020,All Cause,27.0,27.0,Predicted (weighted),,23.0,575.0,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
174,Alabama,2015-08-01T00:00:00.000,AL,2015,30,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
175,Alabama,2016-07-30T00:00:00.000,AL,2016,30,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
176,Alabama,2017-07-29T00:00:00.000,AL,2017,30,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
177,Alabama,2018-07-28T00:00:00.000,AL,2018,30,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
178,Alabama,2019-07-27T00:00:00.000,AL,2019,30,Hispanic,2015-2019,All Cause,11.0,5.0,Predicted (weighted),,,,
179,Alabama,2020-07-25T00:00:00.000,AL,2020,30,Hispanic,2020,All Cause,15.0,15.0,Predicted (weighted),,10.0,200.0,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
180,Alabama,2015-08-08T00:00:00.000,AL,2015,31,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
181,Alabama,2016-08-06T00:00:00.000,AL,2016,31,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
182,Alabama,2017-08-05T00:00:00.000,AL,2017,31,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
183,Alabama,2018-08-04T00:00:00.000,AL,2018,31,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
184,Alabama,2019-08-03T00:00:00.000,AL,2019,31,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
185,Alabama,2020-08-01T00:00:00.000,AL,2020,31,Hispanic,2020,All Cause,12.0,12.0,Predicted (weighted),,7.0,140.0,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
186,Alabama,2015-08-15T00:00:00.000,AL,2015,32,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
187,Alabama,2016-08-13T00:00:00.000,AL,2016,32,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
188,Alabama,2017-08-12T00:00:00.000,AL,2017,32,Hispanic,2015-2019,All Cause,10.0,6.0,Predicted (weighted),,,,
189,Alabama,2018-08-11T00:00:00.000,AL,2018,32,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
190,Alabama,2019-08-10T00:00:00.000,AL,2019,32,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
191,Alabama,2020-08-08T00:00:00.000,AL,2020,32,Hispanic,2020,All Cause,17.0,17.0,Predicted (weighted),,11.0,183.3,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
192,Alabama,2015-08-22T00:00:00.000,AL,2015,33,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
193,Alabama,2016-08-20T00:00:00.000,AL,2016,33,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
194,Alabama,2017-08-19T00:00:00.000,AL,2017,33,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
195,Alabama,2018-08-18T00:00:00.000,AL,2018,33,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
196,Alabama,2019-08-17T00:00:00.000,AL,2019,33,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
197,Alabama,2020-08-15T00:00:00.000,AL,2020,33,Hispanic,2020,All Cause,15.0,15.0,Predicted (weighted),,7.0,87.5,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
198,Alabama,2015-08-29T00:00:00.000,AL,2015,34,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
199,Alabama,2016-08-27T00:00:00.000,AL,2016,34,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
200,Alabama,2017-08-26T00:00:00.000,AL,2017,34,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
201,Alabama,2018-08-25T00:00:00.000,AL,2018,34,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
202,Alabama,2019-08-24T00:00:00.000,AL,2019,34,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
203,Alabama,2020-08-22T00:00:00.000,AL,2020,34,Hispanic,2020,All Cause,21.0,21.0,Predicted (weighted),,14.0,200.0,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
204,Alabama,2015-09-05T00:00:00.000,AL,2015,35,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
205,Alabama,2016-09-03T00:00:00.000,AL,2016,35,Hispanic,2015-2019,All Cause,14.0,8.0,Predicted (weighted),,,,
206,Alabama,2017-09-02T00:00:00.000,AL,2017,35,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
207,Alabama,2018-09-01T00:00:00.000,AL,2018,35,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
208,Alabama,2019-08-31T00:00:00.000,AL,2019,35,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
209,Alabama,2020-08-29T00:00:00.000,AL,2020,35,Hispanic,2020,All Cause,13.0,13.0,Predicted (weighted),,5.0,62.5,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
210,Alabama,2015-09-12T00:00:00.000,AL,2015,36,Hispanic,2015-2019,All Cause,10.0,7.0,Predicted (weighted),,,,
211,Alabama,2016-09-10T00:00:00.000,AL,2016,36,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
212,Alabama,2017-09-09T00:00:00.000,AL,2017,36,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
213,Alabama,2018-09-08T00:00:00.000,AL,2018,36,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
214,Alabama,2019-09-07T00:00:00.000,AL,2019,36,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
215,Alabama,2020-09-05T00:00:00.000,AL,2020,36,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
216,Alabama,2015-09-19T00:00:00.000,AL,2015,37,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
217,Alabama,2016-09-17T00:00:00.000,AL,2016,37,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
218,Alabama,2017-09-16T00:00:00.000,AL,2017,37,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
219,Alabama,2018-09-15T00:00:00.000,AL,2018,37,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
220,Alabama,2019-09-14T00:00:00.000,AL,2019,37,Hispanic,2015-2019,All Cause,10.0,7.0,Predicted (weighted),,,,
221,Alabama,2020-09-12T00:00:00.000,AL,2020,37,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
222,Alabama,2015-09-26T00:00:00.000,AL,2015,38,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
223,Alabama,2016-09-24T00:00:00.000,AL,2016,38,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
224,Alabama,2017-09-23T00:00:00.000,AL,2017,38,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
225,Alabama,2018-09-22T00:00:00.000,AL,2018,38,Hispanic,2015-2019,All Cause,10.0,6.0,Predicted (weighted),,,,
226,Alabama,2019-09-21T00:00:00.000,AL,2019,38,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
227,Alabama,2020-09-19T00:00:00.000,AL,2020,38,Hispanic,2020,All Cause,16.0,16.0,Predicted (weighted),,10.0,166.7,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
228,Alabama,2015-10-03T00:00:00.000,AL,2015,39,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
229,Alabama,2016-10-01T00:00:00.000,AL,2016,39,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
230,Alabama,2017-09-30T00:00:00.000,AL,2017,39,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
231,Alabama,2018-09-29T00:00:00.000,AL,2018,39,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
232,Alabama,2019-09-28T00:00:00.000,AL,2019,39,Hispanic,2015-2019,All Cause,10.0,6.0,Predicted (weighted),,,,
233,Alabama,2020-09-26T00:00:00.000,AL,2020,39,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
234,Alabama,2015-10-10T00:00:00.000,AL,2015,40,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
235,Alabama,2016-10-08T00:00:00.000,AL,2016,40,Hispanic,2015-2019,All Cause,11.0,6.0,Predicted (weighted),,,,
236,Alabama,2017-10-07T00:00:00.000,AL,2017,40,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
237,Alabama,2018-10-06T00:00:00.000,AL,2018,40,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
238,Alabama,2019-10-05T00:00:00.000,AL,2019,40,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
239,Alabama,2020-10-03T00:00:00.000,AL,2020,40,Hispanic,2020,All Cause,12.0,12.0,Predicted (weighted),,6.0,100.0,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
240,Alabama,2015-10-17T00:00:00.000,AL,2015,41,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
241,Alabama,2016-10-15T00:00:00.000,AL,2016,41,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
242,Alabama,2017-10-14T00:00:00.000,AL,2017,41,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
243,Alabama,2018-10-13T00:00:00.000,AL,2018,41,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
244,Alabama,2019-10-12T00:00:00.000,AL,2019,41,Hispanic,2015-2019,All Cause,11.0,6.0,Predicted (weighted),,,,
245,Alabama,2020-10-10T00:00:00.000,AL,2020,41,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
246,Alabama,2015-10-24T00:00:00.000,AL,2015,42,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
247,Alabama,2016-10-22T00:00:00.000,AL,2016,42,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
248,Alabama,2017-10-21T00:00:00.000,AL,2017,42,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
249,Alabama,2018-10-20T00:00:00.000,AL,2018,42,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
250,Alabama,2019-10-19T00:00:00.000,AL,2019,42,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
251,Alabama,2020-10-17T00:00:00.000,AL,2020,42,Hispanic,2020,All Cause,19.0,19.0,Predicted (weighted),,12.0,171.4,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
252,Alabama,2015-10-31T00:00:00.000,AL,2015,43,Hispanic,2015-2019,All Cause,12.0,10.0,Predicted (weighted),,,,
253,Alabama,2016-10-29T00:00:00.000,AL,2016,43,Hispanic,2015-2019,All Cause,10.0,10.0,Predicted (weighted),,,,
254,Alabama,2017-10-28T00:00:00.000,AL,2017,43,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
255,Alabama,2018-10-27T00:00:00.000,AL,2018,43,Hispanic,2015-2019,All Cause,13.0,10.0,Predicted (weighted),,,,
256,Alabama,2019-10-26T00:00:00.000,AL,2019,43,Hispanic,2015-2019,All Cause,11.0,10.0,Predicted (weighted),,,,
257,Alabama,2020-10-24T00:00:00.000,AL,2020,43,Hispanic,2020,All Cause,18.0,18.0,Predicted (weighted),,8.0,80.0,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
258,Alabama,2015-11-07T00:00:00.000,AL,2015,44,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
259,Alabama,2016-11-05T00:00:00.000,AL,2016,44,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
260,Alabama,2017-11-04T00:00:00.000,AL,2017,44,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
261,Alabama,2018-11-03T00:00:00.000,AL,2018,44,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
262,Alabama,2019-11-02T00:00:00.000,AL,2019,44,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
263,Alabama,2020-10-31T00:00:00.000,AL,2020,44,Hispanic,2020,All Cause,12.0,12.0,Predicted (weighted),,7.0,140.0,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
264,Alabama,2015-11-14T00:00:00.000,AL,2015,45,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
265,Alabama,2016-11-12T00:00:00.000,AL,2016,45,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
266,Alabama,2017-11-11T00:00:00.000,AL,2017,45,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
267,Alabama,2018-11-10T00:00:00.000,AL,2018,45,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
268,Alabama,2019-11-09T00:00:00.000,AL,2019,45,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
269,Alabama,2020-11-07T00:00:00.000,AL,2020,45,Hispanic,2020,All Cause,17.0,17.0,Predicted (weighted),,13.0,325.0,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
270,Alabama,2015-11-21T00:00:00.000,AL,2015,46,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
271,Alabama,2016-11-19T00:00:00.000,AL,2016,46,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
272,Alabama,2017-11-18T00:00:00.000,AL,2017,46,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
273,Alabama,2018-11-17T00:00:00.000,AL,2018,46,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
274,Alabama,2019-11-16T00:00:00.000,AL,2019,46,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
275,Alabama,2020-11-14T00:00:00.000,AL,2020,46,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
276,Alabama,2015-11-28T00:00:00.000,AL,2015,47,Hispanic,2015-2019,All Cause,10.0,9.0,Predicted (weighted),,,,
277,Alabama,2016-11-26T00:00:00.000,AL,2016,47,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
278,Alabama,2017-11-25T00:00:00.000,AL,2017,47,Hispanic,2015-2019,All Cause,13.0,9.0,Predicted (weighted),,,,
279,Alabama,2018-11-24T00:00:00.000,AL,2018,47,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
280,Alabama,2019-11-23T00:00:00.000,AL,2019,47,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
281,Alabama,2020-11-21T00:00:00.000,AL,2020,47,Hispanic,2020,All Cause,15.0,15.0,Predicted (weighted),,6.0,66.7,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
282,Alabama,2015-12-05T00:00:00.000,AL,2015,48,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
283,Alabama,2016-12-03T00:00:00.000,AL,2016,48,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
284,Alabama,2017-12-02T00:00:00.000,AL,2017,48,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
285,Alabama,2018-12-01T00:00:00.000,AL,2018,48,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
286,Alabama,2019-11-30T00:00:00.000,AL,2019,48,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
287,Alabama,2020-11-28T00:00:00.000,AL,2020,48,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
288,Alabama,2015-12-12T00:00:00.000,AL,2015,49,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
289,Alabama,2016-12-10T00:00:00.000,AL,2016,49,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
290,Alabama,2017-12-09T00:00:00.000,AL,2017,49,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
291,Alabama,2018-12-08T00:00:00.000,AL,2018,49,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
292,Alabama,2019-12-07T00:00:00.000,AL,2019,49,Hispanic,2015-2019,All Cause,11.0,8.0,Predicted (weighted),,,,
293,Alabama,2020-12-05T00:00:00.000,AL,2020,49,Hispanic,2020,All Cause,12.0,12.0,Predicted (weighted),,4.0,50.0,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction. Weighted numbers of deaths are 20% or more higher than the control counts. Data may be less complete than in previous years, or weights may be too high in states where timeliness of provisional data has improved."
294,Alabama,2015-12-19T00:00:00.000,AL,2015,50,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
295,Alabama,2016-12-17T00:00:00.000,AL,2016,50,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
296,Alabama,2017-12-16T00:00:00.000,AL,2017,50,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
297,Alabama,2018-12-15T00:00:00.000,AL,2018,50,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
298,Alabama,2019-12-14T00:00:00.000,AL,2019,50,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
299,Alabama,2015-12-26T00:00:00.000,AL,2015,51,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
300,Alabama,2016-12-24T00:00:00.000,AL,2016,51,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
301,Alabama,2017-12-23T00:00:00.000,AL,2017,51,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
302,Alabama,2018-12-22T00:00:00.000,AL,2018,51,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
303,Alabama,2019-12-21T00:00:00.000,AL,2019,51,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
304,Alabama,2016-01-02T00:00:00.000,AL,2015,52,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
305,Alabama,2016-12-31T00:00:00.000,AL,2016,52,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
306,Alabama,2017-12-30T00:00:00.000,AL,2017,52,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
307,Alabama,2018-12-29T00:00:00.000,AL,2018,52,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
308,Alabama,2019-12-28T00:00:00.000,AL,2019,52,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
309,Alaska,2015-01-10T00:00:00.000,AK,2015,1,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
310,Alaska,2016-01-09T00:00:00.000,AK,2016,1,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
311,Alaska,2017-01-07T00:00:00.000,AK,2017,1,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
312,Alaska,2018-01-06T00:00:00.000,AK,2018,1,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
313,Alaska,2019-01-05T00:00:00.000,AK,2019,1,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
314,Alaska,2020-01-04T00:00:00.000,AK,2020,1,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
315,Alaska,2015-01-17T00:00:00.000,AK,2015,2,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
316,Alaska,2016-01-16T00:00:00.000,AK,2016,2,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
317,Alaska,2017-01-14T00:00:00.000,AK,2017,2,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
318,Alaska,2018-01-13T00:00:00.000,AK,2018,2,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
319,Alaska,2019-01-12T00:00:00.000,AK,2019,2,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
320,Alaska,2020-01-11T00:00:00.000,AK,2020,2,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
321,Alaska,2015-01-24T00:00:00.000,AK,2015,3,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
322,Alaska,2016-01-23T00:00:00.000,AK,2016,3,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
323,Alaska,2017-01-21T00:00:00.000,AK,2017,3,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
324,Alaska,2018-01-20T00:00:00.000,AK,2018,3,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
325,Alaska,2019-01-19T00:00:00.000,AK,2019,3,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
326,Alaska,2020-01-18T00:00:00.000,AK,2020,3,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
327,Alaska,2015-01-31T00:00:00.000,AK,2015,4,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
328,Alaska,2016-01-30T00:00:00.000,AK,2016,4,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
329,Alaska,2017-01-28T00:00:00.000,AK,2017,4,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
330,Alaska,2018-01-27T00:00:00.000,AK,2018,4,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
331,Alaska,2019-01-26T00:00:00.000,AK,2019,4,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
332,Alaska,2020-01-25T00:00:00.000,AK,2020,4,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
333,Alaska,2015-02-07T00:00:00.000,AK,2015,5,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
334,Alaska,2016-02-06T00:00:00.000,AK,2016,5,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
335,Alaska,2017-02-04T00:00:00.000,AK,2017,5,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
336,Alaska,2018-02-03T00:00:00.000,AK,2018,5,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
337,Alaska,2019-02-02T00:00:00.000,AK,2019,5,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
338,Alaska,2020-02-01T00:00:00.000,AK,2020,5,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
339,Alaska,2015-02-14T00:00:00.000,AK,2015,6,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
340,Alaska,2016-02-13T00:00:00.000,AK,2016,6,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
341,Alaska,2017-02-11T00:00:00.000,AK,2017,6,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
342,Alaska,2018-02-10T00:00:00.000,AK,2018,6,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
343,Alaska,2019-02-09T00:00:00.000,AK,2019,6,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
344,Alaska,2020-02-08T00:00:00.000,AK,2020,6,Hispanic,2020,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,"Data in recent weeks are incomplete. Only 60% of death records are submitted to NCHS within 10 days of the date of death, and completeness varies by jurisdiction."
345,Alaska,2015-02-21T00:00:00.000,AK,2015,7,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
346,Alaska,2016-02-20T00:00:00.000,AK,2016,7,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
347,Alaska,2017-02-18T00:00:00.000,AK,2017,7,Hispanic,2015-2019,All Cause,,,Predicted (weighted),Suppressed (counts <10),,,
